昔話の題目（原題）,昔話の題目（改題）,収録日（YYYY-MM-DD）,話者符号,話者の出身地,昔話の掲載書籍名,掲載書籍の出版社,ファイル名
お天気占い,天気占い,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,01_お天気占い
くいしんぼ,食いしん坊,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,02_くいしんぼ
犬の恩返し,戻った財布,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,03_犬の恩返し
赤い薬，白い薬,あげェ薬どしろえ薬,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,04_赤い薬，白い薬
たんたんろりん,金ひり大黒さん,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,05_たんたんろりん
こぶとり,こぶえッつァん,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,06_こぶとり
豆こ話,豆子話,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,07_豆こ話
地蔵浄土,地蔵浄土,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,08_地蔵浄土
ぬかぶくとべんざら,ぬかぶくとべんざら,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,09_ぬかぶくとべんざら
長徳,鼠になった娘,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,11_長徳
和尚さんと馬,馬の予言,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,12_和尚さんと馬
大だこや吉,,1973-11-18,M001,登米市,,,13_大だこや吉
猫の絵,猫の絵と鼠,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,14_猫の絵
つぼだんごの由来,,1973-11-18,M001,登米市,,,15_つぼだんごの由来
あわて者,あわて者,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,16_あわて者
二人のかばねやみ,二人の無精者,1973-11-18,M001,登米市,永浦誠喜翁の昔話,日本放送出版協会,17_二人のかばねやみ
